millis,node,x,y,rssi,distance,target_x,target_y
9,2,12.5,0,-63.5639,12.492,12.492,12.492
9,4,25,12.5,-63.5649,12.508,12.492,12.492
9,5,0,12.5,-63.5639,12.492,12.492,12.492
9,7,12.5,25,-63.5649,12.508,12.492,12.492
9,1,0,0,-68.0793,17.6664,12.492,12.492
9,3,25,0,-68.0799,17.6777,12.492,12.492
9,6,0,25,-68.0799,17.6777,12.492,12.492
9,8,25,25,-68.0804,17.689,12.492,12.492
108,2,12.5,0,-63.4722,12.4044,12.4041,12.4041
108,5,0,12.5,-63.4722,12.4044,12.4041,12.4041
108,4,25,12.5,-63.6566,12.5963,12.4041,12.4041
108,7,12.5,25,-63.6566,12.5963,12.4041,12.4041
108,1,0,0,-67.9873,17.542,12.4041,12.4041
108,3,25,0,-68.0802,17.6782,12.4041,12.4041
108,6,0,25,-68.0802,17.6782,12.4041,12.4041
108,8,25,25,-68.1717,17.8133,12.4041,12.4041
208,2,12.5,0,-63.3801,12.3171,12.3157,12.3157
208,5,0,12.5,-63.3801,12.3171,12.3157,12.3157
208,4,25,12.5,-63.7487,12.6857,12.3157,12.3157
208,7,12.5,25,-63.7487,12.6857,12.3157,12.3157
208,1,0,0,-67.8942,17.417,12.3157,12.3157
208,3,25,0,-68.0812,17.6796,12.3157,12.3157
208,6,0,25,-68.0812,17.6796,12.3157,12.3157
208,8,25,25,-68.2629,17.9383,12.3157,12.3157
308,2,12.5,0,-63.2881,12.2303,12.2273,12.2273
308,5,0,12.5,-63.2881,12.2303,12.2273,12.2273
308,4,25,12.5,-63.8407,12.7756,12.2273,12.2273
308,7,12.5,25,-63.8407,12.7756,12.2273,12.2273
308,1,0,0,-67.8004,17.292,12.2273,12.2273
308,3,25,0,-68.0828,17.6819,12.2273,12.2273
308,6,0,25,-68.0828,17.6819,12.2273,12.2273
308,8,25,25,-68.3534,18.0633,12.2273,12.2273
408,2,12.5,0,-63.196,12.1443,12.1389,12.1389
408,5,0,12.5,-63.196,12.1443,12.1389,12.1389
408,4,25,12.5,-63.9328,12.8662,12.1389,12.1389
408,7,12.5,25,-63.9328,12.8662,12.1389,12.1389
408,1,0,0,-67.706,17.167,12.1389,12.1389
408,3,25,0,-68.0851,17.685,12.1389,12.1389
408,6,0,25,-68.0851,17.685,12.1389,12.1389
408,8,25,25,-68.4433,18.1883,12.1389,12.1389
508,2,12.5,0,-63.1041,12.0589,12.0505,12.0505
508,5,0,12.5,-63.1041,12.0589,12.0505,12.0505
508,4,25,12.5,-64.0247,12.9573,12.0505,12.0505
508,7,12.5,25,-64.0247,12.9573,12.0505,12.0505
508,1,0,0,-67.6108,17.042,12.0505,12.0505
508,3,25,0,-68.088,17.6891,12.0505,12.0505
508,6,0,25,-68.088,17.6891,12.0505,12.0505
508,8,25,25,-68.5326,18.3133,12.0505,12.0505
608,2,12.5,0,-63.0123,11.9742,11.9621,11.9621
608,5,0,12.5,-63.0123,11.9742,11.9621,11.9621
608,4,25,12.5,-64.1166,13.049,11.9621,11.9621
608,7,12.5,25,-64.1166,13.049,11.9621,11.9621
608,1,0,0,-67.515,16.917,11.9621,11.9621
608,3,25,0,-68.0916,17.694,11.9621,11.9621
608,6,0,25,-68.0916,17.694,11.9621,11.9621
608,8,25,25,-68.6213,18.4383,11.9621,11.9621
708,2,12.5,0,-62.9206,11.8902,11.8737,11.8737
708,5,0,12.5,-62.9206,11.8902,11.8737,11.8737
708,4,25,12.5,-64.2084,13.1412,11.8737,11.8737
708,7,12.5,25,-64.2084,13.1412,11.8737,11.8737
708,1,0,0,-67.4184,16.792,11.8737,11.8737
708,3,25,0,-68.0958,17.6998,11.8737,11.8737
708,6,0,25,-68.0958,17.6998,11.8737,11.8737
708,8,25,25,-68.7093,18.5633,11.8737,11.8737
808,2,12.5,0,-62.829,11.807,11.7854,11.7854
808,5,0,12.5,-62.829,11.807,11.7854,11.7854
808,4,25,12.5,-64.3,13.234,11.7854,11.7854
808,7,12.5,25,-64.3,13.234,11.7854,11.7854
808,1,0,0,-67.3211,16.667,11.7854,11.7854
808,3,25,0,-68.1007,17.7065,11.7854,11.7854
808,6,0,25,-68.1007,17.7065,11.7854,11.7854
808,8,25,25,-68.7968,18.6883,11.7854,11.7854
908,2,12.5,0,-62.7377,11.7245,11.697,11.697
908,5,0,12.5,-62.7377,11.7245,11.697,11.697
908,4,25,12.5,-64.3916,13.3273,11.697,11.697
908,7,12.5,25,-64.3916,13.3273,11.697,11.697
908,1,0,0,-67.2231,16.542,11.697,11.697
908,3,25,0,-68.1062,17.7141,11.697,11.697
908,6,0,25,-68.1062,17.7141,11.697,11.697
908,8,25,25,-68.8837,18.8133,11.697,11.697
1008,2,12.5,0,-62.6465,11.6428,11.6086,11.6086
1008,5,0,12.5,-62.6465,11.6428,11.6086,11.6086
1008,4,25,12.5,-64.483,13.4211,11.6086,11.6086
1008,7,12.5,25,-64.483,13.4211,11.6086,11.6086
1008,1,0,0,-67.1243,16.417,11.6086,11.6086
1008,3,25,0,-68.1123,17.7226,11.6086,11.6086
1008,6,0,25,-68.1123,17.7226,11.6086,11.6086
1008,8,25,25,-68.9701,18.9383,11.6086,11.6086
1108,2,12.5,0,-62.5555,11.5618,11.5202,11.5202
1108,5,0,12.5,-62.5555,11.5618,11.5202,11.5202
1108,4,25,12.5,-64.5742,13.5154,11.5202,11.5202
1108,7,12.5,25,-64.5742,13.5154,11.5202,11.5202
1108,1,0,0,-67.0248,16.292,11.5202,11.5202
1108,3,25,0,-68.1191,17.7319,11.5202,11.5202
1108,6,0,25,-68.1191,17.7319,11.5202,11.5202
1108,8,25,25,-69.0558,19.0633,11.5202,11.5202
1208,2,12.5,0,-62.4648,11.4816,11.4318,11.4318
1208,5,0,12.5,-62.4648,11.4816,11.4318,11.4318
1208,4,25,12.5,-64.6653,13.6102,11.4318,11.4318
1208,7,12.5,25,-64.6653,13.6102,11.4318,11.4318
1208,1,0,0,-66.9245,16.167,11.4318,11.4318
1208,3,25,0,-68.1266,17.7421,11.4318,11.4318
1208,6,0,25,-68.1266,17.7421,11.4318,11.4318
1208,8,25,25,-69.141,19.1883,11.4318,11.4318
1308,2,12.5,0,-62.3744,11.4022,11.3434,11.3434
1308,5,0,12.5,-62.3744,11.4022,11.3434,11.3434
1308,4,25,12.5,-64.7562,13.7055,11.3434,11.3434
1308,7,12.5,25,-64.7562,13.7055,11.3434,11.3434
1308,1,0,0,-66.8235,16.042,11.3434,11.3434
1308,3,25,0,-68.1347,17.7532,11.3434,11.3434
1308,6,0,25,-68.1347,17.7532,11.3434,11.3434
1308,8,25,25,-69.2257,19.3133,11.3434,11.3434
1408,2,12.5,0,-62.2843,11.3237,11.255,11.255
1408,5,0,12.5,-62.2843,11.3237,11.255,11.255
1408,4,25,12.5,-64.847,13.8012,11.255,11.255
1408,7,12.5,25,-64.847,13.8012,11.255,11.255
1408,1,0,0,-66.7216,15.917,11.255,11.255
1408,3,25,0,-68.1434,17.7651,11.255,11.255
1408,6,0,25,-68.1434,17.7651,11.255,11.255
1408,8,25,25,-69.3098,19.4383,11.255,11.255
